episode,timestep,reward,length,kill,death,crash,lock_progress,distance
1,50,50.3815,50,0,0,1,0.0000,12.1778
2,100,0.4606,50,0,0,1,0.0000,10.6073
3,150,0.4468,50,0,0,1,0.0000,11.2405
4,200,0.4273,50,0,0,1,0.0000,10.5888
5,250,0.4378,50,0,0,1,0.0000,10.8658
6,300,0.4210,50,0,0,1,0.0000,12.1568
7,348,-49.5927,48,0,0,1,0.0000,11.4332
8,398,0.4311,50,0,0,1,0.0000,10.5841
9,448,0.4025,50,0,0,1,0.0000,12.3312
10,498,0.4626,50,0,0,1,0.0000,10.6357
11,548,0.4380,50,0,0,1,0.0000,11.2408
12,598,0.4568,50,0,0,1,0.0000,11.1571
13,648,0.4526,50,0,0,1,0.0000,11.1810
14,698,0.4627,50,0,0,1,0.0000,11.3540
15,748,0.4214,50,0,0,1,0.0000,10.7896
16,798,0.4331,50,0,0,1,0.0000,11.2394
17,848,0.4413,50,0,0,1,0.0000,11.3413
18,898,0.4210,50,0,0,1,0.0000,11.6359
19,948,0.4256,50,0,0,1,0.0000,11.4058
20,998,0.4345,50,0,0,1,0.0000,11.3036
