episode,timestep,reward,length,kill,death,crash,lock_progress,distance
1,61,50.5373,61,0,0,1,0.0000,10.8430
2,115,50.4734,54,0,0,1,0.0000,11.9852
3,160,-49.6263,45,0,0,1,0.0000,11.7372
4,228,50.4982,68,0,0,1,0.0000,11.8082
