episode,timestep,reward,length,kill,death,crash,lock_progress,distance
1,50,0.4556,50,0,0,1,0.0000,10.7532
2,100,0.4632,50,0,0,1,0.0000,11.1308
3,150,0.4478,50,0,0,1,0.0000,10.9790
4,200,0.4544,50,0,0,1,0.0000,10.9038
5,240,50.3504,40,0,0,1,0.0000,11.5002
6,288,-49.5675,48,0,0,1,0.0000,10.7939
7,333,-49.6092,45,0,0,1,0.0000,11.9294
8,383,0.4556,50,0,0,1,0.0000,10.4470
9,431,-49.5649,48,0,0,1,0.0000,10.5017
10,481,-49.5817,50,0,0,1,0.0000,11.3148
11,531,0.4146,50,0,0,1,0.0000,11.8349
12,581,0.4546,50,0,0,1,0.0000,10.8834
13,631,0.3857,50,0,0,1,0.0000,12.1853
14,681,0.4521,50,0,0,1,0.0000,10.9055
15,731,0.4770,50,0,0,1,0.0000,10.4381
16,781,0.4304,50,0,0,1,0.0000,11.9373
17,831,0.4681,50,0,0,1,0.0000,10.9239
18,881,0.4392,50,0,0,1,0.0000,11.8166
19,931,0.4157,50,0,0,1,0.0000,11.8887
20,981,0.4737,50,0,0,1,0.0000,10.9882
21,1018,50.3516,37,0,0,1,0.0000,10.2390
