episode,timestep,reward,length,kill,death,crash,lock_progress,distance
1,56,50.5539,56,0,0,1,0.0000,11.3553
2,106,50.3869,50,0,0,1,0.0000,11.7029
3,149,-49.7175,43,0,0,1,0.0000,12.4471
4,199,-49.5978,50,0,0,1,0.0000,12.1644
