episode,timestep,reward,length,kill,death,crash,lock_progress,distance
1,50,0.4608,50,0,0,1,0.0000,11.1592
2,100,0.4450,50,0,0,1,0.0000,11.1948
3,150,0.4586,50,0,0,1,0.0000,11.1067
4,200,0.4501,50,0,0,1,0.0000,11.0597
5,244,-49.6423,44,0,0,1,0.0000,11.9850
6,294,0.3851,50,0,0,1,0.0000,12.4921
7,344,0.4181,50,0,0,1,0.0000,11.0681
8,394,0.4150,50,0,0,1,0.0000,11.3963
9,444,0.3956,50,0,0,1,0.0000,12.7010
10,494,0.4060,50,0,0,1,0.0000,11.5061
11,539,-49.6171,45,0,0,1,0.0000,11.1175
12,589,-49.6014,50,0,0,1,0.0000,11.6474
13,639,0.4299,50,0,0,1,0.0000,11.0552
14,689,0.4351,50,0,0,1,0.0000,10.4821
15,739,0.4543,50,0,0,1,0.0000,10.8060
16,789,0.3904,50,0,0,1,0.0000,11.9596
17,839,0.4476,50,0,0,1,0.0000,10.6174
18,889,0.4617,50,0,0,1,0.0000,10.3368
19,939,0.4139,50,0,0,1,0.0000,12.2055
20,985,-49.6145,46,0,0,1,0.0000,11.3959
