episode,timestep,reward,length,kill,death,crash,lock_progress,distance
1,50,0.4362,50,0,0,1,0.0000,11.4039
2,100,0.4431,50,0,0,1,0.0000,11.1487
3,150,0.3794,50,0,0,1,0.0000,12.1255
4,200,0.4640,50,0,0,1,0.0000,10.3243
5,250,0.4657,50,0,0,1,0.0000,9.8756
6,298,-49.5728,48,0,0,1,0.0000,10.9485
7,345,-49.6527,47,0,0,1,0.0000,12.1847
8,395,0.3862,50,0,0,1,0.0000,11.8210
9,445,0.3606,50,0,0,1,0.0000,12.7789
10,495,0.4063,50,0,0,1,0.0000,11.2453
11,545,0.4028,50,0,0,1,0.0000,11.5757
12,595,0.4014,50,0,0,1,0.0000,11.6388
13,625,-49.7337,30,0,0,1,0.0000,11.0704
14,675,0.4020,50,0,0,1,0.0000,11.4245
15,725,0.3669,50,0,0,1,0.0000,12.2748
16,773,-49.6451,48,0,0,1,0.0000,12.8916
17,823,0.4520,50,0,0,1,0.0000,10.6103
18,873,0.4227,50,0,0,1,0.0000,12.2253
19,923,0.4633,50,0,0,1,0.0000,10.8914
20,973,0.3970,50,0,0,1,0.0000,12.1724
21,1015,-49.6815,42,0,0,1,0.0000,11.9609
