episode,timestep,reward,length,kill,death,crash,lock_progress,distance
1,50,50.4274,50,0,0,1,0.0000,12.0298
2,98,-49.5964,48,0,0,1,0.0000,11.5131
3,148,0.3737,50,0,0,1,0.0000,12.9882
4,198,0.4792,50,0,0,1,0.0000,10.3293
5,248,0.4405,50,0,0,1,0.0000,11.4232
6,298,0.4349,50,0,0,1,0.0000,11.5993
7,322,-49.7787,24,0,0,1,0.0000,10.7215
8,372,0.3908,50,0,0,1,0.0000,11.9549
9,422,0.4247,50,0,0,1,0.0000,11.4181
10,472,0.4217,50,0,0,1,0.0000,11.2510
11,522,0.3947,50,0,0,1,0.0000,12.1989
12,572,0.4166,50,0,0,1,0.0000,11.7438
13,614,-49.6623,42,0,0,1,0.0000,12.3762
14,664,0.4517,50,0,0,1,0.0000,10.6171
15,714,-49.6231,50,0,0,1,0.0000,12.0018
16,764,0.4170,50,0,0,1,0.0000,11.0602
17,814,-49.5995,50,0,0,1,0.0000,12.2787
18,864,0.3953,50,0,0,1,0.0000,12.1896
19,914,0.4134,50,0,0,1,0.0000,11.9860
20,964,0.4405,50,0,0,1,0.0000,10.9852
21,1014,0.4154,50,0,0,1,0.0000,11.7525
