episode,timestep,reward,length,kill,death,crash,lock_progress,distance
1,51,-49.3407,51,0,0,1,0.0000,10.7707
2,104,-49.5862,53,0,0,1,0.0000,11.7388
3,148,50.5423,44,0,0,1,0.0000,10.3281
4,212,50.5364,64,0,0,1,0.0000,11.5467
