episode,timestep,reward,length,kill,death,crash,lock_progress,distance
1,50,0.4273,50,0,0,1,0.0000,11.4362
2,100,0.4318,50,0,0,1,0.0000,12.0931
3,150,0.4129,50,0,0,1,0.0000,11.6066
4,200,0.4373,50,0,0,1,0.0000,10.7912
5,249,-49.6093,49,0,0,1,0.0000,11.8418
6,299,0.4060,50,0,0,1,0.0000,12.1732
7,349,0.3982,50,0,0,1,0.0000,12.2944
8,399,0.4171,50,0,0,1,0.0000,11.9017
9,449,0.3812,50,0,0,1,0.0000,12.2944
10,494,50.3605,45,0,0,1,0.0000,12.5620
11,541,-49.6669,47,0,0,1,0.0000,12.8026
12,591,0.4796,50,0,0,1,0.0000,10.5085
13,640,50.4280,49,0,0,1,0.0000,10.9779
14,690,0.4228,50,0,0,1,0.0000,10.8600
15,740,0.4309,50,0,0,1,0.0000,11.2308
16,783,50.3627,43,0,0,1,0.0000,12.2201
17,830,-49.5836,47,0,0,1,0.0000,11.0911
18,880,0.4389,50,0,0,1,0.0000,11.4762
19,930,0.4262,50,0,0,1,0.0000,12.0579
20,980,0.4118,50,0,0,1,0.0000,11.9301
