episode,timestep,reward,length,kill,death,crash,lock_progress,distance
1,61,-49.3903,61,0,0,1,0.0000,11.1516
2,99,-49.7860,38,0,0,1,0.0000,12.3402
3,155,-49.2396,56,0,0,1,0.0000,9.4551
4,205,-49.7021,50,0,0,1,0.0000,11.9144
