episode,timestep,reward,length,kill,death,crash,lock_progress,distance
1,48,-49.5319,48,0,0,1,0.0000,10.0546
2,98,0.4168,50,0,0,1,0.0000,11.4222
3,148,0.4286,50,0,0,1,0.0000,11.2109
4,198,0.4353,50,0,0,1,0.0000,11.5315
5,248,0.4265,50,0,0,1,0.0000,10.8872
6,298,0.4487,50,0,0,1,0.0000,11.0944
7,348,0.4476,50,0,0,1,0.0000,10.2769
8,398,0.4613,50,0,0,1,0.0000,10.4524
9,439,-49.6332,41,0,0,1,0.0000,10.9571
10,489,0.4495,50,0,0,1,0.0000,10.4099
11,534,-49.6119,45,0,0,1,0.0000,10.9837
12,584,0.4487,50,0,0,1,0.0000,10.8659
13,634,0.4425,50,0,0,1,0.0000,11.4381
14,684,0.4439,50,0,0,1,0.0000,11.2509
15,734,0.4553,50,0,0,1,0.0000,10.6904
16,769,-49.6674,35,0,0,1,0.0000,10.1106
17,819,0.4041,50,0,0,1,0.0000,11.8962
18,869,0.4806,50,0,0,1,0.0000,10.6932
19,919,0.4210,50,0,0,1,0.0000,10.8633
20,969,0.4021,50,0,0,1,0.0000,12.3599
21,1018,-49.6331,49,0,0,1,0.0000,12.0011
